ProductKey,top_level_category,subcategory
42,Kitchen & Dining,Cutlery & Serving Tools
74,Textiles & Soft Furnishings,Cushions & Throws
76,Textiles & Soft Furnishings,Table Linens
38,Kitchen & Dining,Aprons & Kitchen Textiles
61,Seasonal & Holiday,Christmas
9,Craft & DIY Supplies,Craft Materials
27,Home & Outdoor,Wall & Outdoor & Signs
36,Jewellery & Fashion Accessories,Umbrellas
62,Seasonal & Holiday,Easter
65,Seasonal & Holiday,Valentine's & Love-Themed
13,Garden & Outdoor,Planters & Pots (Outdoor)
25,Home & Outdoor,Typographic Signs
54,Lighting & Candles,Incense & Fragrance
63,Seasonal & Holiday,Halloween
75,Textiles & Soft Furnishings,Door Mats
55,Lighting & Candles,Novelty Candles
50,Kitchen & Dining,Tea & Coffee Accessories
80,"Toys, Games & Novelty",Traditional & Novelty Toys
22,Home & Outdoor,Pet Bowls & Feeding
17,Home & Outdoor,Home Organisation (Memo/Chalkboards)
41,Kitchen & Dining,Children's Tableware
47,Kitchen & Dining,Popcorn & Snack Accessories
58,Party & Celebration Supplies,Garlands & Bunting
8,Bath & Beauty,Personal Care Items
35,Jewellery & Fashion Accessories,"Scarves, Hats & Gloves"
57,NON-MERCHANDISE,Transaction/Fee/Adjustment
72,Textiles & Soft Furnishings,Bags (Fabric/Fashion)
23,Home & Outdoor,Storage Boxes & Bins
33,Jewellery & Fashion Accessories,Parasols & Fans
16,Home & Outdoor,Framed Art & Photo Frames
60,Party & Celebration Supplies,Party Tableware
43,Kitchen & Dining,Drinkware
79,"Toys, Games & Novelty",Novelty Gadgets
4,"Bags, Purses & Travel",Purses & Wallets
29,Jewellery & Fashion Accessories,Charms & Beads (Loose)
53,Lighting & Candles,Decorative Lights
5,"Bags, Purses & Travel",Travel Accessories
15,Home & Outdoor,Coat & Key Racks/Hooks
10,Craft & DIY Supplies,DIY Kits
20,Home & Outdoor,Money Banks & Keepsake Boxes
49,Kitchen & Dining,Tableware
26,Home & Outdoor,Vases & Planters
31,Jewellery & Fashion Accessories,Hair Accessories
44,Kitchen & Dining,Jugs & Pouring Ware
56,Miscellaneous / Unclassified,Needs Manual Review
70,Stationery & Paper Goods,Stickers & Craft Paper
12,Garden & Outdoor,Gardening Accessories
30,Jewellery & Fashion Accessories,Earrings
71,Stationery & Paper Goods,Tissues & Gift Boxes
34,Jewellery & Fashion Accessories,Rings
11,Garden & Outdoor,Garden & Outdoor
24,Home & Outdoor,Storage Furniture
6,Bath & Beauty,Bath Accessories
14,Home & Outdoor,Clocks
37,Jewellery & Fashion Accessories,Wearable Novelty
39,Kitchen & Dining,Bakeware & Utensils
67,Stationery & Paper Goods,Gift Tags (multi-pack)
66,Stationery & Paper Goods,Cards & Envelopes
69,Stationery & Paper Goods,Notebooks & Writing
3,"Bags, Purses & Travel",Handbags & Totes
7,Bath & Beauty,Comfort & Warmth
32,Jewellery & Fashion Accessories,Necklaces & Pendants
77,"Toys, Games & Novelty",Children's Toys
1,,
18,Home & Outdoor,Hooks & Hangers
46,Kitchen & Dining,Picnic & Lunch-on-the-go
51,Kitchen & Dining,Teacups & Saucers
73,Textiles & Soft Furnishings,Bath & Bedroom Textiles
19,Home & Outdoor,Kitchen Storage Containers
52,Lighting & Candles,Candles & Candle Holders
81,"Toys, Games & Novelty",Traditional Games
28,Jewellery & Fashion Accessories,Bracelets & Bangles
45,Kitchen & Dining,Kitchen Storage
78,"Toys, Games & Novelty",Games & Puzzles
59,Party & Celebration Supplies,Party Decorations
21,Home & Outdoor,Ornamental Objects
64,Seasonal & Holiday,Other Seasonal/Occasions
68,Stationery & Paper Goods,Gift Wrap & Packaging
2,"Bags, Purses & Travel",Fabric Shopper/Storage Bags
40,Kitchen & Dining,Baking & Cake Supplies
48,Kitchen & Dining,Preserving & Food Prep
